para,p_index,mean,se_mean,sd,mode,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta,29,2.9053,0.0043,0.4794,2.912,1.9877,2.5833,2.899,3.2255,3.8569,12158.9934,0.9998
beta,30,7.0653,0.0184,1.5551,6.3341,4.2755,5.8562,6.9814,8.2992,9.8283,7151.4158,1.0001
beta,31,1.5202,0.0027,0.2975,1.4923,0.9768,1.314,1.5072,1.7147,2.1293,12476.2992,0.9996
beta,32,8.8628,0.0077,0.8423,9.7537,6.926,8.3289,9.0225,9.5436,9.9608,11846.7059,0.9998
beta,33,1.8497,0.0058,0.4691,1.8272,1.0159,1.544,1.8291,2.1327,2.7959,6518.3534,1.0001
beta,34,2.4958,0.0038,0.4568,2.4071,1.6367,2.1764,2.4828,2.7984,3.4345,14285.5562,0.9997
beta,35,6.3514,0.0088,0.8452,6.1835,4.8284,5.7764,6.3088,6.8811,8.1434,9270.2033,0.9998
beta,36,1.0474,0.0087,0.3605,0.9869,0.4675,0.8202,1.0265,1.2473,1.6776,1704.8647,1.0034
beta,37,8.5964,0.0094,0.8898,8.8219,6.6867,7.998,8.6935,9.316,9.9196,8878.4119,0.9998
beta,38,6.5121,0.0129,1.0826,6.1465,4.6185,5.7369,6.4282,7.1969,8.8842,7014.5991,1
beta,39,5.696,0.0148,1.1362,5.4413,3.8506,4.8952,5.5534,6.3619,8.31,5870.7489,1.0002
beta,40,7.012,0.0114,1.0044,6.7011,5.1967,6.2993,6.9345,7.6762,9.1788,7785.4902,1.0004
beta,41,8.525,0.0111,1.0597,9.6531,6.1475,7.816,8.716,9.4083,9.9463,9168.4385,0.9999
beta,42,0.9129,0.0167,0.8318,0.7541,0.1417,0.5387,0.7838,1.0544,2.8472,2485.6946,1.0008
beta,43,2.2617,0.003,0.3397,2.1979,1.623,2.0319,2.2474,2.4842,2.9589,12506.8366,1.0001
beta,44,0.4204,0.0146,0.8818,0.0686,0.0075,0.0886,0.211,0.4168,2.7069,3666.0465,1.0008
beta,45,4.5786,0.0061,0.6716,4.4135,3.406,4.1139,4.5214,4.9927,6.0453,12297.7857,0.9996
beta,46,7.3167,0.0164,1.1953,7.241,5.1732,6.422,7.2655,8.162,9.6944,5306.0833,1.0005
beta,47,5.0968,0.006,0.6331,5.0337,3.9438,4.6559,5.0685,5.5124,6.4239,11098.045,0.9999
beta,48,5.5227,0.0068,0.7522,5.4116,4.1385,5.002,5.4843,6.0111,7.1064,12086.9648,0.9996
beta,49,7.465,0.0165,1.3599,6.8978,4.9252,6.4256,7.4595,8.5504,9.8163,6783.4549,1.0003
beta,50,5.7775,0.0094,0.9075,5.4669,4.2053,5.1345,5.7043,6.3519,7.7278,9296.996,1.0003
beta,51,7.6881,0.0133,1.1059,7.5612,5.5886,6.877,7.6685,8.5086,9.7404,6950.3823,0.9999
beta,52,8.127,0.0113,1.0463,8.257,6.0535,7.3733,8.1811,8.9467,9.8664,8598.0357,0.9999
beta,53,8.1472,0.0123,1.117,8.2205,5.8436,7.3517,8.2194,9.0515,9.9062,8189.3977,0.9997
beta,54,7.2412,0.0175,1.4713,6.5066,4.5593,6.1084,7.1954,8.4227,9.8192,7103.4934,0.9999
beta,55,7.7568,0.0134,1.0485,7.7184,5.8313,6.9818,7.7193,8.522,9.7757,6146.2252,1.0011
beta,56,5.3447,0.0158,1.1167,4.8916,3.5919,4.539,5.1929,5.9822,7.9784,4971.7089,1.0001
beta,57,3.0144,0.003,0.3565,3.0386,2.3438,2.7693,3.0074,3.2523,3.7356,13755.2332,0.9998
beta,58,1.8296,0.0042,0.4287,1.8444,1.0165,1.531,1.8242,2.1183,2.6909,10606.049,1.0001
beta,59,7.5417,0.0152,1.3934,7.2434,4.827,6.5096,7.5538,8.669,9.8419,8422.2232,0.9998
beta,60,0.3979,0.0209,1.0863,0.0518,0.0045,0.0536,0.1231,0.2544,3.7147,2711.8735,1.0009
beta,61,7.5344,0.0161,1.4143,7.1702,4.7912,6.4699,7.5737,8.6854,9.8586,7716.4582,0.9997
beta,62,5.1137,0.0131,1.0862,4.685,3.3746,4.3548,4.9699,5.7357,7.669,6840.1939,1.0002
beta,63,7.2598,0.0128,1.1352,7.2073,5.1613,6.4318,7.2104,8.0642,9.5337,7828.0996,1.0001
beta,64,2.046,0.0042,0.4315,1.979,1.2401,1.7503,2.0317,2.3312,2.9297,10428.82,0.9997
beta,65,8.0794,0.0138,1.1579,7.9385,5.7422,7.2336,8.1376,9.0381,9.8943,7009.3255,1.0006
beta,66,1.3588,0.0039,0.3857,1.2475,0.6532,1.1001,1.3425,1.5937,2.1365,9834.6105,1.0003
beta,67,2.2196,0.0044,0.4333,2.0835,1.4338,1.9141,2.1988,2.5003,3.1249,9504.4981,0.9999
beta,68,3.6126,0.0043,0.4939,3.5764,2.7047,3.2682,3.5937,3.9312,4.6394,13487.3835,0.9999
beta,69,1.1489,0.0027,0.2791,1.1265,0.6423,0.9578,1.1386,1.3237,1.7409,10407.664,0.9999
beta,70,0.6442,0.0074,0.3158,0.6473,0.2159,0.4888,0.6287,0.7731,1.1074,1821.7972,1.0025
beta,71,8.1796,0.0121,1.0404,8.4469,6.1266,7.4063,8.2406,9.0085,9.8829,7345.6377,1.0005
beta,72,0.7579,0.0165,0.4941,0.6369,0.2203,0.5333,0.7103,0.903,1.4128,900.7993,1.0028
beta,73,3.5081,0.0044,0.5051,3.5006,2.5731,3.1606,3.4891,3.8266,4.5523,12909.0113,0.9998
beta,74,2.3834,0.0032,0.3665,2.3525,1.6902,2.1284,2.3732,2.6217,3.1188,13281.4486,0.9998
beta,75,1.4631,0.0051,0.4639,1.491,0.567,1.1585,1.4615,1.7605,2.3763,8292.1374,1.0002
beta,76,2.0122,0.0027,0.3126,2.0361,1.4163,1.8019,2.0107,2.2086,2.6486,13334.0376,0.9996
beta,77,0.4072,0.0188,1.13,0.0411,0.0036,0.0366,0.0903,0.2098,4.049,3607.174,0.9996
beta,78,6.9548,0.0113,1.0016,6.8333,5.1713,6.2412,6.9027,7.6104,9.1036,7913.8765,0.9999
beta,79,6.8465,0.0139,1.1035,6.6224,4.9218,6.0454,6.7584,7.5448,9.2139,6294.3421,1.0003
beta,80,1.1676,0.0228,0.9804,0.9202,0.2563,0.7091,0.9824,1.3006,3.8206,1841.1993,1.002
beta,81,1.9849,0.0032,0.3577,1.9491,1.3079,1.741,1.9724,2.2242,2.7175,12607.7346,0.9995
beta,82,6.9885,0.0185,1.5801,6.3041,4.1709,5.7552,6.9392,8.2633,9.7875,7291.4689,0.9999
beta,83,3.8666,0.0043,0.5022,3.7419,2.9402,3.5182,3.8486,4.1937,4.9022,13413.5562,1
beta,84,4.2997,0.0054,0.5843,4.2258,3.2375,3.897,4.2698,4.6623,5.5345,11557.5406,0.9997
beta,85,2.4069,0.0027,0.3255,2.3828,1.8241,2.1853,2.3914,2.6187,3.075,14792.7256,0.9996
beta,86,1.9938,0.034,2.0083,0.7522,0.2969,0.7269,1.172,2.4603,8.2263,3482.1906,1.0007
beta,87,1.1395,0.0057,0.4216,1.0973,0.4231,0.8619,1.1144,1.3844,1.9639,5444.2982,1.0007
beta,88,8.5407,0.0117,1.0617,9.6247,6.0982,7.82,8.7502,9.414,9.9487,8287.269,1
beta,89,6.1028,0.015,1.1067,5.8492,4.2823,5.3215,5.9677,6.7432,8.6674,5437.8326,1.0004
beta,90,6.4203,0.0101,0.9683,6.2256,4.6917,5.746,6.345,7.0336,8.495,9280.778,1.0001
beta,91,5.9853,0.0156,0.9735,5.5586,4.4551,5.32,5.8367000000000004,6.5051,8.3934,3901.5587,1.0018
beta,92,7.9692,0.0129,1.2249,8.2063,5.4547,7.0766,8.0488,8.9786,9.8909,8995.287,0.9997
beta,93,7.0248,0.0188,1.5602,7.0438,4.2564,5.7961,6.9768,8.2695,9.8077,6922.0936,1
beta,94,3.2629,0.004,0.4731,3.1722,2.3814,2.9388,3.2433,3.5755,4.2209,13675.6001,0.9999
beta,95,8.4664,0.0114,1.043,9.6573,6.1672,7.7764,8.5982,9.3269,9.9429,8394.8053,1
beta,96,7.1311,0.0202,1.5764,6.5441,4.2876,5.9038,7.0916,8.4105,9.8502,6106.6651,1.0007
beta,97,7.4184,0.0139,1.1083,7.1124,5.3655,6.628,7.3741,8.1949,9.6336,6400.2765,1.0003
beta,98,2.4888,0.004,0.4284,2.5266,1.6719,2.1926,2.4829,2.7646,3.358,11601.8148,0.9997
beta,99,7.8428,0.0138,1.2611,8.3351,5.307,6.9347,7.9028,8.871,9.8593,8408.7993,0.9996
beta,100,5.3181,0.0071,0.7466,5.0936,4.0244,4.7799,5.2589,5.7919,6.9199,11028.2593,1
beta,101,3.4657,0.0042,0.4925,3.4419,2.5237,3.1319,3.4536,3.7803,4.4899,13522.7236,1.0001
beta,102,8.9643,0.0072,0.7942,9.746,7.1089,8.4913,9.1252,9.6181,9.9619,12018.8492,0.9998
beta,103,0.7116,0.0215,1.4349,0.072,0.0095,0.0844,0.2088,0.5288,5.825,4471.5101,1.0008
beta,104,2.522,0.0047,0.4629,2.4629,1.6619,2.2,2.5082,2.8252,3.4673,9546.9981,1.0002
beta,105,8.3999,0.0108,1.0418,9.2904,6.1749,7.6874,8.5373,9.2517,9.9145,9356.8341,0.9997
beta,106,6.9602,0.0134,1.0707,6.7335,5.0841,6.1804,6.8777,7.6779,9.2404,6424.8474,0.9996
beta,107,8.6347,0.0098,0.9388,9.5261,6.5367,8.0176,8.7531,9.4116,9.9524,9123.6556,1
beta,108,1.1082,0.0092,0.4264,1.1074,0.4808,0.8683,1.0806,1.2986,1.8128,2135.1538,1.0013
beta,109,1.1603,0.0026,0.2864,1.0954,0.6569,0.9579,1.1444,1.342,1.7733,12069.9067,0.9997
beta,110,6.2542,0.0159,1.1087,5.7648,4.4401,5.454,6.1337,6.9303,8.8039,4882.7691,1.0002
beta,111,1.6091,0.0104,0.639,1.4241,0.7113,1.2487,1.5423,1.8554,2.866,3777.2495,1.0001
beta,112,6.2178,0.0101,0.9554,6.0603,4.5314,5.5577,6.1528,6.8275,8.2837,8981.6257,0.9998
beta,113,3.8567,0.0044,0.5109,3.8086,2.9302,3.5049,3.8343,4.1839,4.9402,13557.4928,0.9996
beta,114,2.7418,0.0039,0.4123,2.5867,1.9936,2.4547,2.7216,3.0018,3.6045,11106.7168,0.9998
beta,115,2.0481,0.004,0.3981,2.0361,1.2986,1.7721,2.0396,2.3158,2.841,9983.5782,0.9996
beta,116,3.4143,0.004,0.5016,3.2502,2.5451,3.059,3.3868,3.7315,4.4847,15574.7863,0.9999
beta,117,3.408,0.0044,0.4843,3.3515,2.5318,3.0663,3.3821,3.7261,4.4015,12171.0286,0.9996
beta,118,8.5163,0.0108,0.9955,9.4559,6.3525,7.8463,8.654,9.3362,9.929,8507.1092,0.9998
beta,119,2.9882,0.0042,0.4378,2.8681,2.1835,2.6851,2.9687,3.2653,3.9123,10718.7725,1
beta,120,4.9192,0.0055,0.6264,4.7653,3.7964,4.479,4.8824,5.3162,6.2216,13014.9639,0.9996
beta,121,5.8263,0.0084,0.8781,5.61,4.231,5.2125,5.7719,6.383,7.6895,10924.1952,0.9996
beta,122,8.8308,0.0081,0.8794,9.7055,6.7932,8.2894,9.016,9.5476,9.9545,11737.6033,0.9996
beta,123,7.7244,0.0121,1.0659,7.5155,5.7203,6.9539,7.6851,8.5015,9.7489,7769.624,0.9999
beta,124,4.2211,0.0045,0.5411,4.1771,3.243,3.848,4.1989,4.567,5.3564,14235.4537,0.9996
beta,125,6.4619,0.009,0.8763,6.3959,4.9033,5.8418,6.4101,7.0254,8.3531,9425.0576,1
beta,126,2.5701,0.0029,0.3669,2.6185,1.8652,2.3191,2.5656,2.8125,3.313,15648.0461,0.9998
beta,127,4.0564,0.0048,0.5694,3.9986,3.0238,3.6586,4.0279,4.418,5.2626,13803.1758,0.9998
beta,128,1.2866,0.0031,0.3081,1.2497,0.729,1.0722,1.2697,1.4887,1.9287,9979.4249,0.9998
beta,129,7.082,0.0173,1.5434,6.9346,4.3037,5.8616,7.0455,8.3162,9.7979,8005.2791,1
beta,130,5.2413,0.0271,1.779,3.9747,2.8222,3.8825,4.8042,6.2928,9.4466,4293.6372,1.0003
beta,131,0.6093,0.0062,0.4063,0.4767,0.0609,0.3541,0.5589,0.7996,1.3969,4339.7162,1.0002
beta,132,2.616,0.0044,0.4402,2.6244,1.8057,2.3144,2.6041,2.907,3.5321,9836.7199,1
beta,133,4.3608,0.0055,0.5783,4.2666,3.3016,3.9507,4.3439,4.7434,5.5642,11133.681,0.9997
beta,134,1.6105,0.0027,0.2966,1.6043,1.0736,1.4102,1.5991,1.7987,2.2307,11984.9161,1
beta,135,4.4802,0.007,0.8027,4.3344,3.0906,3.9186,4.4097,4.9678,6.2593,13021.8173,0.9997
beta,136,5.9478,0.0134,1.0663,5.7822,4.1627,5.1917,5.8432,6.5729,8.3729,6308.5494,1.0003
beta,137,1.4681,0.0025,0.2643,1.4431,0.9675,1.2895,1.4594,1.64,2.0117,11362.4085,0.9998
beta,138,3.6144,0.0033,0.4203,3.5754,2.8383,3.3269,3.5948,3.8889,4.5038,16017.6456,0.9999
beta,139,3.1957,0.0039,0.4418,3.136,2.3914,2.8889,3.1741,3.4898,4.095,13127.0729,0.9998
beta,140,2.7238,0.0035,0.4008,2.7015,1.9863,2.4439,2.7075,2.9785,3.5613,12981.8519,0.9997
beta,141,0.9577,0.0083,0.5349,0.8189,0.2018,0.6236,0.8993,1.2175,1.9508,4118.135,1.0005
beta,142,8.5169,0.0106,1.0071,9.5833,6.3419,7.8339,8.6555,9.3488,9.9425,9098.7129,1
beta,143,7.9178,0.0144,1.2731,8.9547,5.3555,6.9725,8.0086,8.9859000000000009,9.8852,7805.3192,0.9997
beta,144,6.5908,0.0113,0.9314,6.5298,4.9538,5.9317,6.525,7.1832,8.6185,6837.4002,0.9996
beta,145,3.5261,0.0042,0.4803,3.5116,2.6563,3.1954,3.5056,3.8337,4.5217,12928.5403,1.0003
beta,146,1.7322,0.0026,0.2995,1.6957,1.1649,1.5242,1.7244,1.9374,2.3412,13372.4361,0.9998
beta,147,5.9947,0.0084,0.8369,5.7861,4.4613,5.4192,5.9393,6.5234,7.805,9890.3457,1.0001
beta,148,2.2688,0.0026,0.3118,2.2728,1.6883,2.0503,2.2578,2.4685,2.9182,14088.8406,1.0001
beta,149,4.9936,0.006,0.669,4.9289,3.7934,4.524,4.9542,5.4331,6.3794,12631.0952,0.9997
beta,150,7.9194,0.0137,1.3203,8.3161,5.1629,6.9631,8.0655,9.0142,9.9051,9303.4426,1.0006
beta,151,6.2705,0.0099,0.8722,6.0787,4.7369,5.6603,6.2086,6.8186,8.2113,7727.4128,0.9999
beta,152,8.243,0.0106,1.0247,8.7087,6.1113,7.528,8.3182,9.0431,9.8831,9285.6646,1.0001
beta,153,7.4017,0.0147,1.1051,7.0053,5.4192,6.6036,7.3263,8.1571,9.6587,5643.7481,0.9999
beta,154,8.4768,0.0099,0.998,9.3419,6.3376,7.8007,8.6019,9.3013,9.9232,10096.8901,0.9999
beta,155,5.997,0.0086,0.8839,5.9019,4.4672,5.3662,5.9358,6.548,7.8817,10587.6632,1
beta,156,7.6591,0.0141,1.156,7.3898,5.5065,6.8066,7.6304,8.556,9.7894,6765.9258,0.9998
beta,157,3.456,0.004,0.449,3.3177,2.6529,3.1432,3.4254,3.7551,4.3773,12564.0031,0.9996
beta,158,0.7138,0.0044,0.3071,0.6721,0.1829,0.5098,0.6974,0.8946,1.3275,4946.8745,1.0001
beta,159,2.7716,0.0043,0.4796,2.7358,1.8692,2.437,2.7558,3.0876,3.7442,12390.6625,1.0002
beta,160,2.4074,0.0063,0.4866,2.3052,1.585,2.0905,2.3717,2.6801,3.433,5955.3751,1.0001
beta,161,7.0318,0.0182,1.5671,6.6682,4.2308,5.7777,7.0106,8.288,9.7886,7441.1127,0.9998
beta,162,3.2044,0.0045,0.4794,3.1312,2.3362,2.8684,3.1728,3.5119,4.2231,11576.0427,0.9998
beta,163,4.0999,0.0057,0.6196,3.8902,2.9913,3.6676,4.0654,4.4921,5.4136,11673.6369,1
beta,164,0.7398,0.0022,0.2245,0.7539,0.3154,0.5862,0.7364,0.8814,1.2004,10604.3956,0.9997
beta,165,3.5875,0.0043,0.5014,3.4757,2.6999,3.2348,3.5567,3.9089,4.6495,13753.9947,0.9998
beta,166,4.582,0.0052,0.6215,4.4299,3.4411,4.149,4.5505,4.9748,5.8597,14068.3921,0.9999
beta,167,8.6661,0.0094,0.9646,9.621,6.4467,8.0437,8.8483,9.4562,9.9461,10507.8668,0.9998
beta,168,8.7583,0.0083,0.9189,9.581,6.6505,8.1728,8.9405,9.5116,9.9495,12197.893,0.9997
beta,169,4.9272,0.0057,0.6853,4.7422,3.6479,4.4559,4.8903,5.3772,6.3371,14405.5614,0.9998
beta,170,7.8813,0.0134,1.0741,7.7363,5.7937,7.1118,7.8776,8.691,9.8084,6415.4881,1.0002
beta,171,3.2887,0.0054,0.5216,3.2629,2.3194,2.9376,3.2734,3.6109,4.3454,9282.8003,1
beta,172,8.3405,0.0105,0.9552,8.7538,6.316,7.6932,8.4142,9.0892,9.8635,8207.6391,1.0007
beta,173,3.2699,0.0037,0.4621,3.2321,2.3931,2.9556,3.257,3.579,4.2104,15748.9679,0.9997
beta,174,5.2905,0.0063,0.6834,5.3208,4.0333,4.8216,5.2661,5.7298,6.688,11743.4654,0.9998
beta,175,7.8956,0.0114,1.0467,7.6562,5.8746,7.1448,7.9014,8.6907,9.7795,8486.6058,0.9997
beta,176,0.7971,0.0035,0.3054,0.8178,0.2386,0.5854,0.7844,0.9822,1.4498,7451.8457,1.0003
beta,177,7.9376,0.0138,1.1836,8.116,5.5902,7.0746,7.9994,8.8927,9.8802,7367.0889,1.0006
beta,178,0.4244,0.018,1.022,0.0503,0.0055,0.067,0.1618,0.3256,3.4339,3231.1837,1.0004
beta,179,7.0239,0.0193,1.5121,6.2403,4.3606,5.8564,6.9516,8.2049,9.8061,6124.9528,1.0001
beta,180,2.6993,0.0036,0.4198,2.6673,1.9451,2.4057,2.6753,2.9684,3.5859,13888.3186,0.9998
beta,181,0.9245,0.024,1.5203,0.1536,0.018,0.1718,0.36870000000000003,0.8725,6.0585,4009.6102,1.0001
beta,182,4.3089,0.0055,0.6247,4.1188,3.2046,3.8665,4.2744,4.7101,5.6268,12955.2756,0.9998
beta,183,3.6968,0.0042,0.4863,3.6048,2.7842,3.3672,3.6809,4.0071,4.7038,13239.172,0.9996
beta,184,8.5398,0.01,0.9763,8.9565,6.4067,7.8886,8.6797,9.331,9.932,9497.3465,0.9997
beta,185,8.0048,0.0135,1.161,7.7307,5.7074,7.1637,8.0408,8.9417,9.8905,7360.7902,1.0002
beta,186,8.2815,0.0122,1.1018,9.4145,6.0062,7.494,8.3993,9.2085,9.9168,8179.3087,1.0001
beta,187,3.5481,0.0045,0.507,3.5016,2.5997,3.2054,3.5292,3.874,4.6012,12730.1951,0.9998
beta,188,1.1057,0.0127,0.6957,0.8452,0.2732,0.7057,0.9971,1.345,2.5522,3020.6732,1.0008
beta,189,4.1885,0.0045,0.5569,4.0427,3.1816,3.7974,4.1594,4.5593,5.3541,15005.9814,0.9998
beta,190,3.4165,0.0042,0.4898,3.3192,2.5263,3.074,3.3865,3.7273,4.4447,13908.1938,1
beta,191,2.4363,0.0177,0.855,2.1889,1.4409,1.9693,2.2799,2.6542,4.6548,2324.235,1.0007
beta,192,8.3908,0.0107,0.9609,8.9174,6.4295,7.7055,8.4621,9.1628,9.9081,8021.2043,1.0001
beta,193,1.1265,0.0075,0.4992,1.0552,0.3762,0.8302,1.0954,1.3678,1.9634,4422.5634,1.0011
beta,194,7.7481,0.0142,1.1652,7.5487,5.535,6.8954,7.7335,8.655,9.8133,6767.6157,1.0003
beta,195,2.2726,0.0034,0.3502,2.1753,1.6229,2.0368,2.2615,2.5029,2.9927,10821.6098,1
beta,196,8.8,0.0082,0.9036,9.703,6.696,8.2652,8.9756,9.5357,9.959,12041.97,1
beta,197,0.6427,0.0029,0.2599,0.5849,0.1781,0.4577,0.6249,0.8088,1.1923,8156.1623,1
beta,198,5.9902,0.0105,0.9214,5.79,4.3979,5.3459,5.9148,6.5616,8.0057,7723.7513,1.0001
beta,199,0.5089,0.008,0.4346,0.4288,0.0443,0.283,0.4614,0.658,1.143,2953.4499,1.0008
beta,200,7.7303,0.0159,1.2421,7.5359,5.3424,6.8039,7.7344,8.7207,9.8321,6126.6863,1.0004
lp__,NA,-14759.0459,0.3391,16.2474,-14759.4381,-14791.6185,-14769.4841,-14758.9148,-14748.1791,-14728.021,2296.2266,1.0011
